CREATE TABLE ATTENDANCE(
Session_id CHAR(6),
Week_no INT,
St_id CHAR(6) NOT NULL,
Status VARCHAR(10),
Date DATE, 
FOREIGN KEY(St_id) REFERENCES STUDENT(St_id),
FOREIGN KEY(Session_id) REFERENCES SESSION(Session_id)
);


INSERT INTO ATTENDANCE (Session_id, Week_no, St_id, Status, Date) VALUES
('SES007', 11, 'TG1701', 'Medical', '2025-10-12'),
('SES008', 11, 'TG1701', 'Present', '2025-10-12'),
('SES009', 11, 'TG1701', 'Present', '2025-10-13'),
('SES010', 11, 'TG1701', 'Present', '2025-10-13'),
('SES011', 11, 'TG1701', 'Present', '2025-10-13'),
('SES012', 11, 'TG1701', 'Present', '2025-10-14'),
('SES013', 11, 'TG1701', 'Absent', '2025-10-14'),
('SES014', 11, 'TG1701', 'Present', '2025-10-14'),
('SES015', 11, 'TG1701', 'Present', '2025-10-14'),
('SES001', 12, 'TG1701', 'Medical', '2025-10-17'),
('SES002', 12, 'TG1701', 'Present', '2025-10-17'),
('SES003', 12, 'TG1701', 'Present', '2025-10-17'),
('SES004', 12, 'TG1701', 'Present', '2025-10-18'),
('SES005', 12, 'TG1701', 'Present', '2025-10-18'),
('SES006', 12, 'TG1701', 'Present', '2025-10-18'),
('SES007', 12, 'TG1701', 'Present', '2025-10-19'),
('SES008', 12, 'TG1701', 'Present', '2025-10-19'),
('SES009', 12, 'TG1701', 'Present', '2025-10-20'),
('SES010', 12, 'TG1701', 'Present', '2025-10-20'),
('SES011', 12, 'TG1701', 'Present', '2025-10-20'),
('SES012', 12, 'TG1701', 'Present', '2025-10-21'),
('SES013', 12, 'TG1701', 'Present', '2025-10-21'),
('SES014', 12, 'TG1701', 'Present', '2025-10-21'),
('SES015', 12, 'TG1701', 'Absent', '2025-10-21'),
('SES001', 13, 'TG1701', 'Present', '2025-10-24'),
('SES002', 13, 'TG1701', 'Present', '2025-10-24'),
('SES003', 13, 'TG1701', 'Present', '2025-10-24'),
('SES004', 13, 'TG1701', 'Present', '2025-10-25'),
('SES005', 13, 'TG1701', 'Present', '2025-10-25'),
('SES006', 13, 'TG1701', 'Present', '2025-10-25'),
('SES007', 13, 'TG1701', 'Present', '2025-10-26'),
('SES008', 13, 'TG1701', 'Present', '2025-10-26'),
('SES009', 13, 'TG1701', 'Absent', '2025-10-27'),
('SES010', 13, 'TG1701', 'Present', '2025-10-27'),
('SES011', 13, 'TG1701', 'Present', '2025-10-27'),
('SES012', 13, 'TG1701', 'Medical', '2025-10-28'),
('SES013', 13, 'TG1701', 'Absent', '2025-10-28'),
('SES014', 13, 'TG1701', 'Present', '2025-10-28'),
('SES015', 13, 'TG1701', 'Absent', '2025-10-28'),
('SES001', 14, 'TG1701', 'Present', '2025-10-31'),
('SES002', 14, 'TG1701', 'Absent', '2025-10-31'),
('SES003', 14, 'TG1701', 'Present', '2025-10-31'),
('SES004', 14, 'TG1701', 'Present', '2025-11-01'),
('SES005', 14, 'TG1701', 'Present', '2025-11-01'),
('SES006', 14, 'TG1701', 'Present', '2025-11-01'),
('SES007', 14, 'TG1701', 'Absent', '2025-11-02'),
('SES008', 14, 'TG1701', 'Present', '2025-11-02'),
('SES009', 14, 'TG1701', 'Present', '2025-11-03'),
('SES010', 14, 'TG1701', 'Present', '2025-11-03'),
('SES011', 14, 'TG1701', 'Absent', '2025-11-03'),
('SES012', 14, 'TG1701', 'Present', '2025-11-04'),
('SES013', 14, 'TG1701', 'Present', '2025-11-04'),
('SES014', 14, 'TG1701', 'Present', '2025-11-04'),
('SES015', 14, 'TG1701', 'Present', '2025-11-04'),
('SES001', 15, 'TG1701', 'Present', '2025-11-07'),
('SES002', 15, 'TG1701', 'Absent', '2025-11-07'),
('SES003', 15, 'TG1701', 'Present', '2025-11-07'),
('SES004', 15, 'TG1701', 'Present', '2025-11-08'),
('SES005', 15, 'TG1701', 'Absent', '2025-11-08'),
('SES006', 15, 'TG1701', 'Present', '2025-11-08'),
('SES007', 15, 'TG1701', 'Present', '2025-11-09'),
('SES008', 15, 'TG1701', 'Present', '2025-11-09'),
('SES009', 15, 'TG1701', 'Present', '2025-11-10'),
('SES010', 15, 'TG1701', 'Present', '2025-11-10'),
('SES011', 15, 'TG1701', 'Absent', '2025-11-10'),
('SES012', 15, 'TG1701', 'Present', '2025-11-11'),
('SES013', 15, 'TG1701', 'Present', '2025-11-11'),
('SES014', 15, 'TG1701', 'Absent', '2025-11-11'),
('SES015', 15, 'TG1701', 'Present', '2025-11-11'),
('SES001', 1, 'TG1702', 'Present', '2025-08-01'),
('SES002', 1, 'TG1702', 'Present', '2025-08-01'),
('SES003', 1, 'TG1702', 'Absent', '2025-08-01'),
('SES004', 1, 'TG1702', 'Absent', '2025-08-02'),
('SES005', 1, 'TG1702', 'Present', '2025-08-02'),
('SES006', 1, 'TG1702', 'Present', '2025-08-02'),
('SES007', 1, 'TG1702', 'Present', '2025-08-03'),
('SES008', 1, 'TG1702', 'Present', '2025-08-03'),
('SES009', 1, 'TG1702', 'Present', '2025-08-04'),
('SES010', 1, 'TG1702', 'Present', '2025-08-04'),
('SES011', 1, 'TG1702', 'Absent', '2025-08-04'),
('SES012', 1, 'TG1702', 'Present', '2025-08-05'),
('SES013', 1, 'TG1702', 'Present', '2025-08-05'),
('SES014', 1, 'TG1702', 'Present', '2025-08-05'),
('SES015', 1, 'TG1702', 'Present', '2025-08-05'),
('SES001', 2, 'TG1702', 'Present', '2025-08-08'),
('SES002', 2, 'TG1702', 'Present', '2025-08-08'),
('SES003', 2, 'TG1702', 'Present', '2025-08-08'),
('SES004', 2, 'TG1702', 'Absent', '2025-08-09'),
('SES005', 2, 'TG1702', 'Present', '2025-08-09'),
('SES006', 2, 'TG1702', 'Absent', '2025-08-09'),
('SES007', 2, 'TG1702', 'Present', '2025-08-10'),
('SES008', 2, 'TG1702', 'Present', '2025-08-10'),
('SES009', 2, 'TG1702', 'Absent', '2025-08-11'),
('SES010', 2, 'TG1702', 'Present', '2025-08-11'),
('SES011', 2, 'TG1702', 'Medical', '2025-08-11'),
('SES012', 2, 'TG1702', 'Present', '2025-08-12'),
('SES013', 2, 'TG1702', 'Present', '2025-08-12'),
('SES014', 2, 'TG1702', 'Present', '2025-08-12'),
('SES015', 2, 'TG1702', 'Present', '2025-08-12'),
('SES001', 3, 'TG1702', 'Medical', '2025-08-15'),
('SES002', 3, 'TG1702', 'Present', '2025-08-15'),
('SES003', 3, 'TG1702', 'Present', '2025-08-15'),
('SES004', 3, 'TG1702', 'Absent', '2025-08-16'),
('SES005', 3, 'TG1702', 'Present', '2025-08-16'),
('SES006', 3, 'TG1702', 'Present', '2025-08-16'),
('SES007', 3, 'TG1702', 'Present', '2025-08-17'),
('SES008', 3, 'TG1702', 'Present', '2025-08-17'),
('SES009', 3, 'TG1702', 'Present', '2025-08-18'),
('SES010', 3, 'TG1702', 'Present', '2025-08-18'),
('SES011', 3, 'TG1702', 'Present', '2025-08-18'),
('SES012', 3, 'TG1702', 'Present', '2025-08-19'),
('SES013', 3, 'TG1702', 'Medical', '2025-08-19'),
('SES014', 3, 'TG1702', 'Present', '2025-08-19'),
('SES015', 3, 'TG1702', 'Absent', '2025-08-19'),
('SES001', 4, 'TG1702', 'Present', '2025-08-22'),
('SES002', 4, 'TG1702', 'Present', '2025-08-22'),
('SES003', 4, 'TG1702', 'Present', '2025-08-22'),
('SES004', 4, 'TG1702', 'Present', '2025-08-23'),
('SES005', 4, 'TG1702', 'Present', '2025-08-23'),
('SES006', 4, 'TG1702', 'Present', '2025-08-23'),
('SES007', 4, 'TG1702', 'Present', '2025-08-24'),
('SES008', 4, 'TG1702', 'Present', '2025-08-24'),
('SES009', 4, 'TG1702', 'Present', '2025-08-25'),
('SES010', 4, 'TG1702', 'Absent', '2025-08-25'),
('SES011', 4, 'TG1702', 'Present', '2025-08-25'),
('SES012', 4, 'TG1702', 'Present', '2025-08-26'),
('SES013', 4, 'TG1702', 'Absent', '2025-08-26'),
('SES014', 4, 'TG1702', 'Present', '2025-08-26'),
('SES015', 4, 'TG1702', 'Absent', '2025-08-26'),
('SES001', 5, 'TG1702', 'Present', '2025-08-29'),
('SES002', 5, 'TG1702', 'Present', '2025-08-29'),
('SES003', 5, 'TG1702', 'Present', '2025-08-29'),
('SES004', 5, 'TG1702', 'Present', '2025-08-30'),
('SES005', 5, 'TG1702', 'Absent', '2025-08-30'),
('SES006', 5, 'TG1702', 'Present', '2025-08-30'),
('SES007', 5, 'TG1702', 'Present', '2025-08-31'),
('SES008', 5, 'TG1702', 'Medical', '2025-08-31'),
('SES009', 5, 'TG1702', 'Present', '2025-09-01'),
('SES010', 5, 'TG1702', 'Present', '2025-09-01'),
('SES011', 5, 'TG1702', 'Present', '2025-09-01'),
('SES012', 5, 'TG1702', 'Absent', '2025-09-02'),
('SES013', 5, 'TG1702', 'Present', '2025-09-02'),
('SES014', 5, 'TG1702', 'Present', '2025-09-02'),
('SES015', 5, 'TG1702', 'Present', '2025-09-02'),
('SES001', 6, 'TG1702', 'Present', '2025-09-05'),
('SES002', 6, 'TG1702', 'Present', '2025-09-05'),
('SES003', 6, 'TG1702', 'Absent', '2025-09-05'),
('SES004', 6, 'TG1702', 'Present', '2025-09-06'),
('SES005', 6, 'TG1702', 'Present', '2025-09-06'),
('SES006', 6, 'TG1702', 'Present', '2025-09-06'),
('SES007', 6, 'TG1702', 'Present', '2025-09-07'),
('SES008', 6, 'TG1702', 'Present', '2025-09-07'),
('SES009', 6, 'TG1702', 'Present', '2025-09-08'),
('SES010', 6, 'TG1702', 'Absent', '2025-09-08'),
('SES011', 6, 'TG1702', 'Medical', '2025-09-08'),
('SES012', 6, 'TG1702', 'Present', '2025-09-09'),
('SES013', 6, 'TG1702', 'Present', '2025-09-09'),
('SES014', 6, 'TG1702', 'Present', '2025-09-09'),
('SES015', 6, 'TG1702', 'Absent', '2025-09-09'),
('SES001', 7, 'TG1702', 'Present', '2025-09-12'),
('SES002', 7, 'TG1702', 'Present', '2025-09-12'),
('SES003', 7, 'TG1702', 'Present', '2025-09-12'),
('SES004', 7, 'TG1702', 'Present', '2025-09-13'),
('SES005', 7, 'TG1702', 'Present', '2025-09-13'),
('SES006', 7, 'TG1702', 'Absent', '2025-09-13'),
('SES007', 7, 'TG1702', 'Present', '2025-09-14'),
('SES008', 7, 'TG1702', 'Present', '2025-09-14'),
('SES009', 7, 'TG1702', 'Absent', '2025-09-15'),
('SES010', 7, 'TG1702', 'Absent', '2025-09-15'),
('SES011', 7, 'TG1702', 'Present', '2025-09-15'),
('SES012', 7, 'TG1702', 'Present', '2025-09-16'),
('SES013', 7, 'TG1702', 'Present', '2025-09-16'),
('SES014', 7, 'TG1702', 'Present', '2025-09-16'),
('SES015', 7, 'TG1702', 'Present', '2025-09-16'),
('SES001', 8, 'TG1702', 'Absent', '2025-09-19'),
('SES002', 8, 'TG1702', 'Present', '2025-09-19'),
('SES003', 8, 'TG1702', 'Present', '2025-09-19'),
('SES004', 8, 'TG1702', 'Present', '2025-09-20'),
('SES005', 8, 'TG1702', 'Absent', '2025-09-20'),
('SES006', 8, 'TG1702', 'Present', '2025-09-20'),
('SES007', 8, 'TG1702', 'Present', '2025-09-21'),
('SES008', 8, 'TG1702', 'Absent', '2025-09-21'),
('SES009', 8, 'TG1702', 'Present', '2025-09-22'),
('SES010', 8, 'TG1702', 'Medical', '2025-09-22'),
('SES011', 8, 'TG1702', 'Present', '2025-09-22'),
('SES012', 8, 'TG1702', 'Present', '2025-09-23'),
('SES013', 8, 'TG1702', 'Present', '2025-09-23'),
('SES014', 8, 'TG1702', 'Present', '2025-09-23'),
('SES015', 8, 'TG1702', 'Present', '2025-09-23'),
('SES001', 9, 'TG1702', 'Present', '2025-09-26'),
('SES002', 9, 'TG1702', 'Present', '2025-09-26'),
('SES003', 9, 'TG1702', 'Present', '2025-09-26'),
('SES004', 9, 'TG1702', 'Absent', '2025-09-27'),
('SES005', 9, 'TG1702', 'Present', '2025-09-27'),
('SES006', 9, 'TG1702', 'Absent', '2025-09-27'),
('SES007', 9, 'TG1702', 'Present', '2025-09-28'),
('SES008', 9, 'TG1702', 'Present', '2025-09-28'),
('SES009', 9, 'TG1702', 'Present', '2025-09-29'),
('SES010', 9, 'TG1702', 'Present', '2025-09-29'),
('SES011', 9, 'TG1702', 'Absent', '2025-09-29'),
('SES012', 9, 'TG1702', 'Present', '2025-09-30'),
('SES013', 9, 'TG1702', 'Present', '2025-09-30'),
('SES014', 9, 'TG1702', 'Absent', '2025-09-30'),
('SES015', 9, 'TG1702', 'Present', '2025-09-30'),
('SES001', 10, 'TG1702', 'Absent', '2025-10-03'),
('SES002', 10, 'TG1702', 'Present', '2025-10-03'),
('SES003', 10, 'TG1702', 'Medical', '2025-10-03'),
('SES004', 10, 'TG1702', 'Absent', '2025-10-04'),
('SES005', 10, 'TG1702', 'Present', '2025-10-04'),
('SES006', 10, 'TG1702', 'Medical', '2025-10-04'),
('SES007', 10, 'TG1702', 'Present', '2025-10-05'),
('SES008', 10, 'TG1702', 'Present', '2025-10-05'),
('SES009', 10, 'TG1702', 'Present', '2025-10-06'),
('SES010', 10, 'TG1702', 'Absent', '2025-10-06'),
('SES011', 10, 'TG1702', 'Present', '2025-10-06'),
('SES012', 10, 'TG1702', 'Present', '2025-10-07'),
('SES013', 10, 'TG1702', 'Absent', '2025-10-07'),
('SES014', 10, 'TG1702', 'Present', '2025-10-07'),
('SES015', 10, 'TG1702', 'Absent', '2025-10-07'),
('SES001', 11, 'TG1702', 'Absent', '2025-10-10'),
('SES002', 11, 'TG1702', 'Present', '2025-10-10'),
('SES003', 11, 'TG1702', 'Present', '2025-10-10'),
('SES004', 11, 'TG1702', 'Present', '2025-10-11'),
('SES005', 11, 'TG1702', 'Present', '2025-10-11'),
('SES006', 11, 'TG1702', 'Present', '2025-10-11'),
('SES007', 11, 'TG1702', 'Present', '2025-10-12'),
('SES008', 11, 'TG1702', 'Present', '2025-10-12'),
('SES009', 11, 'TG1702', 'Present', '2025-10-13'),
('SES010', 11, 'TG1702', 'Present', '2025-10-13'),
('SES011', 11, 'TG1702', 'Absent', '2025-10-13'),
('SES012', 11, 'TG1702', 'Present', '2025-10-14'),
('SES013', 11, 'TG1702', 'Present', '2025-10-14'),
('SES014', 11, 'TG1702', 'Absent', '2025-10-14'),
('SES015', 11, 'TG1702', 'Present', '2025-10-14'),
('SES001', 12, 'TG1702', 'Present', '2025-10-17'),
('SES002', 12, 'TG1702', 'Present', '2025-10-17'),
('SES003', 12, 'TG1702', 'Present', '2025-10-17'),
('SES004', 12, 'TG1702', 'Absent', '2025-10-18'),
('SES005', 12, 'TG1702', 'Present', '2025-10-18'),
('SES006', 12, 'TG1702', 'Present', '2025-10-18'),
('SES007', 12, 'TG1702', 'Present', '2025-10-19'),
('SES008', 12, 'TG1702', 'Present', '2025-10-19'),
('SES009', 12, 'TG1702', 'Absent', '2025-10-20'),
('SES010', 12, 'TG1702', 'Present', '2025-10-20'),
('SES011', 12, 'TG1702', 'Present', '2025-10-20'),
('SES012', 12, 'TG1702', 'Present', '2025-10-21'),
('SES013', 12, 'TG1702', 'Absent', '2025-10-21'),
('SES014', 12, 'TG1702', 'Present', '2025-10-21'),
('SES015', 12, 'TG1702', 'Present', '2025-10-21'),
('SES001', 13, 'TG1702', 'Present', '2025-10-24'),
('SES002', 13, 'TG1702', 'Absent', '2025-10-24'),
('SES003', 13, 'TG1702', 'Present', '2025-10-24'),
('SES004', 13, 'TG1702', 'Absent', '2025-10-25'),
('SES005', 13, 'TG1702', 'Present', '2025-10-25'),
('SES006', 13, 'TG1702', 'Present', '2025-10-25'),
('SES007', 13, 'TG1702', 'Present', '2025-10-26'),
('SES008', 13, 'TG1702', 'Present', '2025-10-26'),
('SES009', 13, 'TG1702', 'Present', '2025-10-27'),
('SES010', 13, 'TG1702', 'Present', '2025-10-27'),
('SES011', 13, 'TG1702', 'Present', '2025-10-27'),
('SES012', 13, 'TG1702', 'Present', '2025-10-28'),
('SES013', 13, 'TG1702', 'Present', '2025-10-28'),
('SES014', 13, 'TG1702', 'Present', '2025-10-28'),
('SES015', 13, 'TG1702', 'Present', '2025-10-28'),
('SES001', 14, 'TG1702', 'Present', '2025-10-31'),
('SES002', 14, 'TG1702', 'Present', '2025-10-31'),
('SES003', 14, 'TG1702', 'Present', '2025-10-31'),
('SES004', 14, 'TG1702', 'Present', '2025-11-01'),
('SES005', 14, 'TG1702', 'Absent', '2025-11-01'),
('SES006', 14, 'TG1702', 'Present', '2025-11-01'),
('SES007', 14, 'TG1702', 'Present', '2025-11-02'),
('SES008', 14, 'TG1702', 'Medical', '2025-11-02'),
('SES009', 14, 'TG1702', 'Present', '2025-11-03'),
('SES010', 14, 'TG1702', 'Medical', '2025-11-03'),
('SES011', 14, 'TG1702', 'Present', '2025-11-03'),
('SES012', 14, 'TG1702', 'Present', '2025-11-04'),
('SES013', 14, 'TG1702', 'Present', '2025-11-04'),
('SES014', 14, 'TG1702', 'Present', '2025-11-04'),
('SES015', 14, 'TG1702', 'Absent', '2025-11-04'),
('SES001', 15, 'TG1702', 'Absent', '2025-11-07'),
('SES002', 15, 'TG1702', 'Absent', '2025-11-07'),
('SES003', 15, 'TG1702', 'Present', '2025-11-07'),
('SES004', 15, 'TG1702', 'Present', '2025-11-08'),
('SES005', 15, 'TG1702', 'Present', '2025-11-08'),
('SES006', 15, 'TG1702', 'Present', '2025-11-08'),
('SES007', 15, 'TG1702', 'Present', '2025-11-09'),
('SES008', 15, 'TG1702', 'Present', '2025-11-09'),
('SES009', 15, 'TG1702', 'Present', '2025-11-10'),
('SES010', 15, 'TG1702', 'Present', '2025-11-10'),
('SES011', 15, 'TG1702', 'Present', '2025-11-10'),
('SES012', 15, 'TG1702', 'Present', '2025-11-11'),
('SES013', 15, 'TG1702', 'Present', '2025-11-11'),
('SES014', 15, 'TG1702', 'Present', '2025-11-11'),
('SES015', 15, 'TG1702', 'Present', '2025-11-11'),
('SES001', 1, 'TG1703', 'Present', '2025-08-01'),
